Country,Kilotons of Co2
Afghanistan,8930.0
Afghanistan,8080.0
Afghanistan,7110.0
Afghanistan,6080.0
Afghanistan,6070.0
Afghanistan,5990.0
Afghanistan,5950.0
Afghanistan,5300.0
Afghanistan,4880.0
Afghanistan,4880.0
Afghanistan,4780.0
Afghanistan,3560.0
Afghanistan,2380.0
Afghanistan,2230.0
Afghanistan,1770.0
Afghanistan,1760.0
Afghanistan,1550.0
Afghanistan,1390.0
Afghanistan,1340.0
Afghanistan,1290.0
Afghanistan,1240.0
Afghanistan,1220.0
Afghanistan,1180.0
Afghanistan,1100.0
Afghanistan,1040.0
Afghanistan,1030.0
Afghanistan,1030.0
Afghanistan,810.0
Afghanistan,760.0
Afghanistan,730.0
Albania,5980.0
Albania,5140.0
Albania,5110.0
Albania,4850.0
Albania,4830.0
Albania,4820.0
Albania,4620.0
Albania,4480.0
Albania,4450.0
Albania,4440.0
Albania,4360.0
Albania,4250.0
Albania,4220.0
Albania,4140.0
Albania,4080.0
Albania,4070.0
Albania,4060.0
Albania,4030.0
Albania,4010.0
Albania,3760.0
Albania,3230.0
Albania,3170.0
Albania,2970.0
Albania,2220.0
Albania,2070.0
Albania,2060.0
Albania,1940.0
Albania,1930.0
Albania,1790.0
Albania,1470.0
Algeria,171250.0
Algeria,165539.99
Algeria,158340.0
Algeria,156270.0
Algeria,154910.0
Algeria,147740.01
Algeria,139020.0
Algeria,134929.99
Algeria,120790.0
Algeria,114180.0
Algeria,112170.0
Algeria,107750.0
Algeria,102750.0
Algeria,99810.0
Algeria,94190.0
Algeria,89490.0
Algeria,88190.0
Algeria,82400.0
Algeria,80050.0
Algeria,78650.0
Algeria,77510.0
Algeria,76440.0
Algeria,76120.0
Algeria,74650.0
Algeria,74430.0
Algeria,73610.0
Algeria,72220.0
Algeria,66840.0
Algeria,66430.0
Algeria,62940.0
Andorra,580.0
Andorra,560.0
Andorra,550.0
Andorra,540.0
Andorra,540.0
Andorra,530.0
Andorra,530.0
Andorra,520.0
Andorra,520.0
Andorra,520.0
Andorra,520.0
Andorra,510.0
Andorra,500.0
Andorra,490.0
Andorra,490.0
Andorra,490.0
Andorra,490.0
Andorra,480.0
Andorra,470.0
Andorra,470.0
Andorra,470.0
Andorra,470.0
Andorra,460.0
Andorra,450.0
Andorra,430.0
Andorra,410.0
Andorra,410.0
Andorra,410.0
Andorra,410.0
Andorra,410.0
Angola,31650.0
Angola,29760.0
Angola,29630.0
Angola,26960.0
Angola,25210.0
Angola,24250.0
Angola,23960.0
Angola,23870.0
Angola,23870.0
Angola,22800.0
Angola,21150.0
Angola,19280.0
Angola,17610.0
Angola,17450.0
Angola,16970.0
Angola,16770.0
Angola,16760.0
Angola,16560.0
Angola,16200.0
Angola,16160.0
Angola,15960.0
Angola,15810.0
Angola,15690.0
Angola,15440.0
Angola,12720.0
Angola,11300.0
Angola,9270.0
Angola,6880.0
Angola,6670.0
Angola,6560.0
Antigua And Barbuda,1390.0
Antigua And Barbuda,700.0
Antigua And Barbuda,540.0
Antigua And Barbuda,520.0
Antigua And Barbuda,510.0
Antigua And Barbuda,500.0
Antigua And Barbuda,500.0
Antigua And Barbuda,490.0
Antigua And Barbuda,490.0
Antigua And Barbuda,480.0
Antigua And Barbuda,480.0
Antigua And Barbuda,470.0
Antigua And Barbuda,460.0
Antigua And Barbuda,440.0
Antigua And Barbuda,410.0
Antigua And Barbuda,410.0
Antigua And Barbuda,400.0
Antigua And Barbuda,390.0
Antigua And Barbuda,350.0
Antigua And Barbuda,330.0
Antigua And Barbuda,330.0
Antigua And Barbuda,320.0
Antigua And Barbuda,290.0
Antigua And Barbuda,290.0
Antigua And Barbuda,280.0
Antigua And Barbuda,270.0
Antigua And Barbuda,250.0
Antigua And Barbuda,250.0
Antigua And Barbuda,220.0
Antigua And Barbuda,210.0
Argentina,185550.0
Argentina,183250.0
Argentina,183160.0
Argentina,179600.01
Argentina,179320.01
Argentina,177960.01
Argentina,176899.99
Argentina,176640.0
Argentina,168100.01
Argentina,167230.0
Argentina,167220.0
Argentina,162810.0
Argentina,156570.01
Argentina,154899.99
Argentina,145990.01
Argentina,141380.0
Argentina,134510.0
Argentina,132670.0
Argentina,132270.0
Argentina,127660.0
Argentina,126120.0
Argentina,125260.0
Argentina,122550.0
Argentina,117470.0
Argentina,112890.0
Argentina,111910.0
Argentina,110260.0
Argentina,107930.0
Argentina,105920.0
Argentina,100320.0
Armenia,20690.0
Armenia,19850.0
Armenia,10900.0
Armenia,6170.0
Armenia,5720.0
Armenia,5710.0
Armenia,5690.0
Armenia,5500.0
Armenia,5480.0
Armenia,5370.0
Armenia,5340.0
Armenia,5200.0
Armenia,5070.0
Armenia,5040.0
Armenia,4940.0
Armenia,4510.0
Armenia,4490.0
Armenia,4460.0
Armenia,4340.0
Armenia,3760.0
Armenia,3600.0
Armenia,3560.0
Armenia,3510.0
Armenia,3500.0
Armenia,3470.0
Armenia,3340.0
Armenia,3120.0
Armenia,3110.0
Armenia,2740.0
Armenia,2580.0
Australia,395290.01
Australia,389160.0
Australia,388940.0
Australia,387540.01
Australia,387070.01
Australia,386970.0
Australia,386530.0
Australia,386380.0
Australia,385750.0
Australia,384989.99
Australia,380280.0
Australia,377799.99
Australia,375489.99
Australia,371630.0
Australia,370090.0
Australia,365810.0
Australia,353370.0
Australia,352579.99
Australia,345640.0
Australia,339450.0
Australia,333710.0
Australia,328620.0
Australia,307850.0
Australia,300810.0
Australia,290180.0
Australia,280180.0
Australia,273050.0
Australia,268400.0
Australia,264760.0
Australia,263630.0
Austria,76240.0
Austria,75800.0
Austria,74460.0
Austria,74100.0
Austria,71240.0
Austria,70730.0
Austria,69960.0
Austria,69370.0
Austria,68270.0
Austria,67910.0
Austria,65860.0
Austria,65750.0
Austria,65110.0
Austria,64900.0
Austria,64770.0
Austria,64670.0
Austria,64420.0
Austria,64220.0
Austria,63680.0
Austria,63530.0
Austria,63240.0
Austria,63060.0
Austria,63050.0
Austria,62420.0
Austria,62050.0
Austria,61180.0
Austria,58280.0
Austria,58270.0
Austria,57800.0
Austria,57660.0
Azerbaijan,63610.0
Azerbaijan,53480.0
Azerbaijan,52060.0
Azerbaijan,48050.0
Azerbaijan,35510.0
Azerbaijan,33520.0
Azerbaijan,32730.0
Azerbaijan,32470.0
Azerbaijan,32240.0
Azerbaijan,32240.0
Azerbaijan,31960.0
Azerbaijan,31770.0
Azerbaijan,30940.0
Azerbaijan,30490.0
Azerbaijan,30450.0
Azerbaijan,30110.0
Azerbaijan,30040.0
Azerbaijan,28570.0
Azerbaijan,28310.0
Azerbaijan,27690.0
Azerbaijan,27630.0
Azerbaijan,27280.0
Azerbaijan,27190.0
Azerbaijan,26490.0
Azerbaijan,26490.0
Azerbaijan,26400.0
Azerbaijan,26180.0
Azerbaijan,26120.0
Azerbaijan,25500.0
Azerbaijan,24310.0
Bahamas,6170.0
Bahamas,3550.0
Bahamas,2840.0
Bahamas,2810.0
Bahamas,2800.0
Bahamas,2570.0
Bahamas,2570.0
Bahamas,2520.0
Bahamas,2400.0
Bahamas,2380.0
Bahamas,2360.0
Bahamas,2320.0
Bahamas,2250.0
Bahamas,2230.0
Bahamas,2220.0
Bahamas,2210.0
Bahamas,2200.0
Bahamas,2200.0
Bahamas,2170.0
Bahamas,2120.0
Bahamas,2110.0
Bahamas,2100.0
Bahamas,2090.0
Bahamas,2080.0
Bahamas,2070.0
Bahamas,2070.0
Bahamas,2040.0
Bahamas,2040.0
Bahamas,1960.0
Bahamas,1870.0
Bahrain,33260.0
Bahrain,30810.0
Bahrain,30580.0
Bahrain,30520.0
Bahrain,30300.0
Bahrain,30280.0
Bahrain,28850.0
Bahrain,27170.0
Bahrain,26020.0
Bahrain,25970.0
Bahrain,24760.0
Bahrain,24720.0
Bahrain,23000.0
Bahrain,22490.0
Bahrain,20690.0
Bahrain,17940.0
Bahrain,17930.0
Bahrain,17220.0
Bahrain,16390.0
Bahrain,15880.0
Bahrain,15490.0
Bahrain,15450.0
Bahrain,14420.0
Bahrain,14150.0
Bahrain,13540.0
Bahrain,13370.0
Bahrain,13070.0
Bahrain,12270.0
Bahrain,10740.0
Bahrain,10350.0
Bangladesh,90740.0
Bangladesh,83450.0
Bangladesh,79340.0
Bangladesh,74380.0
Bangladesh,72190.0
Bangladesh,63830.0
Bangladesh,60600.0
Bangladesh,57990.0
Bangladesh,54420.0
Bangladesh,50580.0
Bangladesh,44750.0
Bangladesh,41580.0
Bangladesh,37990.0
Bangladesh,35900.0
Bangladesh,32710.0
Bangladesh,30530.0
Bangladesh,28630.0
Bangladesh,27430.0
Bangladesh,25780.0
Bangladesh,21650.0
Bangladesh,20110.0
Bangladesh,19250.0
Bangladesh,18970.0
Bangladesh,16830.0
Bangladesh,16550.0
Bangladesh,13540.0
Bangladesh,12570.0
Bangladesh,11820.0
Bangladesh,11520.0
Bangladesh,10830.0
Barbados,4620.0
Barbados,2120.0
Barbados,1780.0
Barbados,1760.0
Barbados,1550.0
Barbados,1480.0
Barbados,1470.0
Barbados,1440.0
Barbados,1420.0
Barbados,1380.0
Barbados,1370.0
Barbados,1360.0
Barbados,1310.0
Barbados,1300.0
Barbados,1290.0
Barbados,1270.0
Barbados,1270.0
Barbados,1270.0
Barbados,1250.0
Barbados,1240.0
Barbados,1240.0
Barbados,1180.0
Barbados,1180.0
Barbados,1160.0
Barbados,1070.0
Barbados,1060.0
Barbados,1030.0
Barbados,1000.0
Barbados,980.0
Barbados,980.0
Belarus,99830.0
Belarus,96220.0
Belarus,87990.0
Belarus,76420.0
Belarus,64810.0
Belarus,61670.0
Belarus,60530.0
Belarus,59990.0
Belarus,59940.0
Belarus,59500.0
Belarus,59170.0
Belarus,59120.0
Belarus,58950.0
Belarus,58650.0
Belarus,58550.0
Belarus,57670.0
Belarus,57650.0
Belarus,57640.0
Belarus,57400.0
Belarus,57260.0
Belarus,56780.0
Belarus,56040.0
Belarus,56010.0
Belarus,55140.0
Belarus,54950.0
Belarus,54820.0
Belarus,52940.0
Belarus,52700.0
Belarus,51880.0
Belarus,51840.0
Belgium,119450.0
Belgium,119410.0
Belgium,118340.0
Belgium,117270.0
Belgium,116630.0
Belgium,115510.0
Belgium,115500.0
Belgium,114900.0
Belgium,114570.0
Belgium,114020.0
Belgium,113960.0
Belgium,112330.0
Belgium,110850.0
Belgium,110610.0
Belgium,110110.0
Belgium,109310.0
Belgium,108650.0
Belgium,106930.0
Belgium,106720.0
Belgium,104590.0
Belgium,99670.0
Belgium,96590.0
Belgium,96480.0
Belgium,95270.0
Belgium,95130.0
Belgium,94220.0
Belgium,93660.0
Belgium,93010.0
Belgium,92720.0
Belgium,90140.0
Belize,1460.0
Belize,680.0
Belize,670.0
Belize,670.0
Belize,650.0
Belize,640.0
Belize,640.0
Belize,630.0
Belize,560.0
Belize,530.0
Belize,530.0
Belize,520.0
Belize,510.0
Belize,510.0
Belize,500.0
Belize,500.0
Belize,480.0
Belize,470.0
Belize,470.0
Belize,460.0
Belize,460.0
Belize,460.0
Belize,450.0
Belize,450.0
Belize,450.0
Belize,440.0
Belize,430.0
Belize,410.0
Belize,360.0
Belize,330.0
Benin,7420.0
Benin,7300.0
Benin,6870.0
Benin,6740.0
Benin,5510.0
Benin,5190.0
Benin,4830.0
Benin,4680.0
Benin,4650.0
Benin,4440.0
Benin,4420.0
Benin,4020.0
Benin,4000.0
Benin,3470.0
Benin,2900.0
Benin,2650.0
Benin,2440.0
Benin,2180.0
Benin,1740.0
Benin,1420.0
Benin,1340.0
Benin,1240.0
Benin,1210.0
Benin,970.0
Benin,330.0
Benin,300.0
Benin,290.0
Benin,280.0
Benin,280.0
Benin,270.0
Bhutan,1050.0
Bhutan,1050.0
Bhutan,970.0
Bhutan,930.0
Bhutan,770.0
Bhutan,700.0
Bhutan,670.0
Bhutan,640.0
Bhutan,590.0
Bhutan,400.0
Bhutan,320.0
Bhutan,320.0
Bhutan,320.0
Bhutan,320.0
Bhutan,300.0
Bhutan,290.0
Bhutan,260.0
Bhutan,240.0
Bhutan,230.0
Bhutan,210.0
Bhutan,200.0
Bhutan,200.0
Bhutan,200.0
Bhutan,190.0
Bhutan,160.0
Bhutan,140.0
Bhutan,130.0
Bhutan,130.0
Bhutan,120.0
Bhutan,80.0
Bolivia,23230.0
Bolivia,22750.0
Bolivia,22340.0
Bolivia,22010.0
Bolivia,20760.0
Bolivia,20410.0
Bolivia,18740.0
Bolivia,17420.0
Bolivia,16610.0
Bolivia,15170.0
Bolivia,14000.0
Bolivia,13110.0
Bolivia,12080.0
Bolivia,11230.0
Bolivia,11150.0
Bolivia,10870.0
Bolivia,10410.0
Bolivia,10200.0
Bolivia,10050.0
Bolivia,9520.0
Bolivia,9490.0
Bolivia,9120.0
Bolivia,9080.0
Bolivia,8670.0
Bolivia,8580.0
Bolivia,8300.0
Bolivia,8290.0
Bolivia,8220.0
Bolivia,8210.0
Bolivia,8050.0
Bosnia,23970.0
Bosnia,23740.0
Bosnia,22680.0
Bosnia,22600.0
Bosnia,22340.0
Bosnia,21960.0
Bosnia,21850.0
Bosnia,21440.0
Bosnia,21070.0
Bosnia,20840.0
Bosnia,20760.0
Bosnia,20590.0
Bosnia,19620.0
Bosnia,19490.0
Bosnia,18890.0
Bosnia,17910.0
Bosnia,16230.0
Bosnia,15970.0
Bosnia,15570.0
Bosnia,14870.0
Bosnia,14560.0
Bosnia,13960.0
Bosnia,13760.0
Bosnia,13400.0
Bosnia,10760.0
Bosnia,10520.0
Bosnia,8490.0
Bosnia,4190.0
Bosnia,3370.0
Bosnia,3160.0
Botswana,7330.0
Botswana,7310.0
Botswana,7250.0
Botswana,6990.0
Botswana,6950.0
Botswana,6630.0
Botswana,5420.0
Botswana,4390.0
Botswana,4320.0
Botswana,4280.0
Botswana,4190.0
Botswana,4090.0
Botswana,4030.0
Botswana,4030.0
Botswana,3970.0
Botswana,3920.0
Botswana,3880.0
Botswana,3870.0
Botswana,3860.0
Botswana,3680.0
Botswana,3410.0
Botswana,3370.0
Botswana,3300.0
Botswana,3250.0
Botswana,3190.0
Botswana,3080.0
Botswana,3070.0
Botswana,2920.0
Botswana,2810.0
Botswana,2730.0
Brazil,511620.0
Brazil,486840.0
Brazil,485340.0
Brazil,456489.99
Brazil,454230.01
Brazil,447079.99
Brazil,434299.99
Brazil,433989.99
Brazil,418310.0
Brazil,397929.99
Brazil,373630.0
Brazil,352560.0
Brazil,350000.0
Brazil,335620.0
Brazil,331690.0
Brazil,328519.99
Brazil,319380.0
Brazil,317760.01
Brazil,313670.0
Brazil,310810.0
Brazil,300960.0
Brazil,290590.0
Brazil,281330.0
Brazil,262410.0
Brazil,241280.0
Brazil,222500.0
Brazil,215260.0
Brazil,207870.0
Brazil,205480.0
Brazil,197900.0
Brunei,7910.0
Brunei,7870.0
Brunei,7540.0
Brunei,7520.0
Brunei,7330.0
Brunei,7300.0
Brunei,7290.0
Brunei,7210.0
Brunei,7170.0
Brunei,7140.0
Brunei,7080.0
Brunei,6990.0
Brunei,6970.0
Brunei,6400.0
Brunei,5520.0
Brunei,5230.0
Brunei,5100.0
Brunei,4990.0
Brunei,4830.0
Brunei,4720.0
Brunei,4710.0
Brunei,4620.0
Brunei,4600.0
Brunei,4520.0
Brunei,4430.0
Brunei,4270.0
Brunei,3930.0
Brunei,3590.0
Brunei,3380.0
Brunei,3260.0
Bulgaria,73610.0
Bulgaria,58830.0
Bulgaria,55930.0
Bulgaria,55360.0
Bulgaria,55300.0
Bulgaria,54880.0
Bulgaria,53720.0
Bulgaria,52990.0
Bulgaria,52600.0
Bulgaria,50480.0
Bulgaria,50040.0
Bulgaria,49640.0
Bulgaria,48950.0
Bulgaria,47990.0
Bulgaria,47930.0
Bulgaria,47270.0
Bulgaria,46190.0
Bulgaria,45020.0
Bulgaria,44740.0
Bulgaria,44560.0
Bulgaria,44320.0
Bulgaria,43880.0
Bulgaria,43600.0
Bulgaria,43420.0
Bulgaria,42910.0
Bulgaria,42050.0
Bulgaria,41590.0
Bulgaria,40900.0
Bulgaria,39660.0
Bulgaria,39140.0
Burkina Faso,5000.0
Burkina Faso,4670.0
Burkina Faso,4270.0
Burkina Faso,3700.0
Burkina Faso,3700.0
Burkina Faso,3180.0
Burkina Faso,3130.0
Burkina Faso,2940.0
Burkina Faso,2460.0
Burkina Faso,2290.0
Burkina Faso,1730.0
Burkina Faso,1700.0
Burkina Faso,1410.0
Burkina Faso,1240.0
Burkina Faso,1060.0
Burkina Faso,1060.0
Burkina Faso,1040.0
Burkina Faso,970.0
Burkina Faso,960.0
Burkina Faso,940.0
Burkina Faso,890.0
Burkina Faso,760.0
Burkina Faso,690.0
Burkina Faso,630.0
Burkina Faso,570.0
Burkina Faso,540.0
Burkina Faso,530.0
Burkina Faso,520.0
Burkina Faso,510.0
Burkina Faso,500.0
Burundi,720.0
Burundi,690.0
Burundi,530.0
Burundi,440.0
Burundi,400.0
Burundi,390.0
Burundi,380.0
Burundi,370.0
Burundi,360.0
Burundi,300.0
Burundi,260.0
Burundi,230.0
Burundi,220.0
Burundi,220.0
Burundi,210.0
Burundi,210.0
Burundi,210.0
Burundi,200.0
Burundi,200.0
Burundi,190.0
Burundi,190.0
Burundi,180.0
Burundi,180.0
Burundi,180.0
Burundi,180.0
Burundi,180.0
Burundi,170.0
Burundi,160.0
Burundi,150.0
Burundi,150.0
Cabo Verde,650.0
Cabo Verde,610.0
Cabo Verde,590.0
Cabo Verde,570.0
Cabo Verde,550.0
Cabo Verde,540.0
Cabo Verde,530.0
Cabo Verde,510.0
Cabo Verde,510.0
Cabo Verde,500.0
Cabo Verde,500.0
Cabo Verde,500.0
Cabo Verde,480.0
Cabo Verde,460.0
Cabo Verde,440.0
Cabo Verde,330.0
Cabo Verde,310.0
Cabo Verde,280.0
Cabo Verde,240.0
Cabo Verde,220.0
Cabo Verde,190.0
Cabo Verde,160.0
Cabo Verde,150.0
Cabo Verde,140.0
Cabo Verde,120.0
Cabo Verde,110.0
Cabo Verde,110.0
Cabo Verde,110.0
Cabo Verde,100.0
Cabo Verde,100.0
Cambodia,16180.0
Cambodia,14580.0
Cambodia,12690.0
Cambodia,11070.0
Cambodia,8430.0
Cambodia,6950.0
Cambodia,5740.0
Cambodia,5670.0
Cambodia,5360.0
Cambodia,5140.0
Cambodia,4750.0
Cambodia,4060.0
Cambodia,3660.0
Cambodia,2960.0
Cambodia,2660.0
Cambodia,2380.0
Cambodia,2380.0
Cambodia,2210.0
Cambodia,2150.0
Cambodia,1960.0
Cambodia,1910.0
Cambodia,1880.0
Cambodia,1640.0
Cambodia,1530.0
Cambodia,1480.0
Cambodia,1470.0
Cambodia,1380.0
Cambodia,1350.0
Cambodia,1300.0
Cambodia,1260.0
Cameroon,9590.0
Cameroon,9430.0
Cameroon,9170.0
Cameroon,9080.0
Cameroon,8460.0
Cameroon,8250.0
Cameroon,7550.0
Cameroon,7030.0
Cameroon,7010.0
Cameroon,6970.0
Cameroon,6880.0
Cameroon,6850.0
Cameroon,6810.0
Cameroon,6390.0
Cameroon,6130.0
Cameroon,5770.0
Cameroon,5210.0
Cameroon,5210.0
Cameroon,5160.0
Cameroon,5130.0
Cameroon,5120.0
Cameroon,5090.0
Cameroon,5040.0
Cameroon,5020.0
Cameroon,4860.0
Cameroon,4790.0
Cameroon,4760.0
Cameroon,4680.0
Cameroon,4620.0
Cameroon,2900.0
Canada,580210.02
Canada,580090.03
Canada,571630.0
Canada,568080.02
Canada,561679.99
Canada,558700.01
Canada,556830.02
Canada,555659.97
Canada,550469.97
Canada,549289.98
Canada,549030.03
Canada,546210.02
Canada,544539.98
Canada,540530.03
Canada,537010.01
Canada,536419.98
Canada,524349.98
Canada,521320.01
Canada,514220.0
Canada,506620.0
Canada,494280.0
Canada,484790.0
Canada,476820.0
Canada,461700.0
Canada,448050.0
Canada,436760.0
Canada,426370.0
Canada,422050.0
Canada,419490.0
Canada,413300.0
Central African Republic,250.0
Central African Republic,250.0
Central African Republic,240.0
Central African Republic,240.0
Central African Republic,240.0
Central African Republic,240.0
Central African Republic,230.0
Central African Republic,230.0
Central African Republic,230.0
Central African Republic,230.0
Central African Republic,230.0
Central African Republic,220.0
Central African Republic,220.0
Central African Republic,210.0
Central African Republic,200.0
Central African Republic,190.0
Central African Republic,190.0
